country,lat,lon
Afghanistan,33.93911,67.709953
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5063,1.5211
Angola,-11.2027,17.8739
Antigua and Barbuda,17.0608,-61.7964
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahamas,25.0343,-77.3963
Bahrain,25.9304,50.637
Bangladesh,-23.685,90.3563
Barbados,13.1939,-59.5432
Belarus,53.9045,27.559
Belgium,50.8503,4.3517
Belize,17.1899,-88.4976
Benin,9.3079,2.3158
Bhutan,27.5149,90.4336
Bolivia,-16.5,-68.1193
Bosnia and Herzegovina,43.9159,17.6791
Botswana,-22.3285,24.6849
Brazil,-14.235,-51.9253
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cabo Verde,16.002,-24.0132
Cambodia,12.5657,104.991
Cameroon,7.3697,12.3547
Canada,56.1304,-106.3468
Central African Republic,4.3947,18.5582
Chad,15.4542,18.7322
Chile,-35.6751,-71.5375
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Comoros,-11.7019,43.2551
Congo (Congo-Brazzaville),-0.228,15.8277
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cuba,21.5216,-77.7812
Cyprus,35.1264,33.4299
Czechia (Czech Republic),49.8175,15.4729
Democratic Republic of the Congo,-4.0383,21.7587
Denmark,56.2639,9.5018
Djibouti,11.8251,42.5903
Dominica,15.4149,-61.3709
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Equatorial Guinea,1.65,10.2679
Eritrea,15.1792,39.7823
Estonia,58.5953,25.0136
Eswatini,26.5225,31.4659
Ethiopia,9.145,40.4897
Fiji,-17.7134,178.065
Finland,61.9241,25.7482
France,46.6034,1.8883
Gabon,-0.8031,11.6094
Gambia,13.4662,-16.5774
Georgia,42.3154,-43.3569
Germany,51.1657,10.4515
Ghana,7.3469,-0.2998
Greece,39.0742,21.8243
Grenada,12.2628,-61.6042
Guatemala,15.7835,-90.2308
Guinea,9.9456,-9.6966
Guinea-Bissau,11.8037,-15.1804
Guyana,4.86,-58.9302
Haiti,18.9712,-72.2854
Honduras,15.1999,-86.2419
Hungary,47.1625,19.5033
Iceland,64.9631,-18.0205
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Iran,32.4279,53.688
Iraq,33.2232,43.4164
Ireland,53.4129,-8.2439
Israel,31.0461,34.8516
Italy,41.8719,12.5674
Jamaica,18.1096,-77.2975
Japan,36.2048,138.2529
Jordan,30.5852,36.2384
Kazakhstan,48.0196,66.9237
Kenya,-1.2864,36.8172
Kiribati,-3.3704,-168.734
Kuwait,29.3759,47.9774
Kyrgyzstan,41.2044,74.7661
Laos,19.8563,102.4955
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Lesotho,-29.6094,28.2336
Liberia,6.4281,-9.4295
Libya,26.3351,17.2283
Liechtenstein,47.2661,9.5569
Lithuania,55.1694,23.8813
Luxembourg,49.6118,6.1319
Madagascar,-18.7669,46.8691
Malawi,-13.2543,34.3015
Malaysia,4.2105,101.9758
Maldives,3.2028,73.2207
Mali,17.57,-3.9962
Malta,35.9375,14.3754
Marshall Islands,7.1315,171.1845
Mauritania,20.254,-10.1854
Mauritius,-20.348404,57.552152
Mexico,23.6345,-102.5528
Micronesia,7.4256,150.5508
Moldova,47.4116,28.3699
Monaco,43.7384,7.4246
Mongolia,46.8625,103.8467
Montenegro,42.4411,19.2636
Morocco,31.7917,-7.0926
Mozambique,-18.6657,35.5296
Myanmar (formerly Burma),21.9162,95.956
Namibia,-23.4162,17.1274
Nauru,-0.5228,166.9315
Nepal,28.3949,84.124
Netherlands,52.3784,4.9009
New Zealand,-40.9006,174.886
Nicaragua,12.8654,-85.2072
Niger,17.6078,8.0817
Nigeria,9.082,8.6753
North Korea,40.3399,127.5101
North Macedonia,41.6086,21.7453
Norway,60.472,8.4689
Oman,21.5129,55.9233
Pakistan,30.3753,69.3451
Palau,7.5149,134.5825
Panama,8.9824,-79.5199
Papua New Guinea,-6.3149,143.9555
Paraguay,-23.442,-58.4438
Peru,-9.19,-75.0152
Philippines,12.8797,121.774
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Qatar,25.3548,51.1839
Romania,45.9432,24.9668
Russia,61.524,105.3188
Rwanda,-1.9403,29.8739
Saint Kitts and Nevis,17.3578,-62.782
Saint Lucia,13.9094,-60.9789
Saint Vincent and the Grenadines,13.2528,-61.1971
Samoa,-13.759,-172.1046
San Marino,43.9333,12.4463
Sao Tome and Principe,0.186,6.6131
Saudi Arabia,23.8859,45.0792
Senegal,14.4974,-14.4524
Serbia,44.0165,21.0059
Seychelles,-4.6796,55.492
Sierra Leone,8.4606,-11.7799
Singapore,1.3521,103.8198
Slovakia,48.669,19.699
Slovenia,46.1512,14.9955
Solomon Islands,-9.4295,160
Somalia,5.1521,46.1996
South Africa,-30.5595,22.9375
South Korea,35.9078,127.7669
South Sudan,6.8759,31.3069
Spain,40.4637,-3.7492
Sri Lanka,7.8731,80.7718
Sudan,12.8628,30.2176
Suriname,3.9193,-56.0273
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
Syria,34.8021,38.9968
Tajikistan,38.861,71.2761
Tanzania,-6.369,34.8888
Thailand,15.87,100.9925
Timor-Leste,8.8742,125.7275
Togo,8.6195,0.8248
Tonga,-21.1789,-175.1982
